id,name,address,website,distance,matFee,dropInFee,sessionDay,sessionTime,sessionType,coordinates,last_updated
austin-true-jiu-jitsu,true jiu jitsu,"2111 Sam Bass Rd, Round Rock, TX 78681",,0,0,,,,Gi/NoGi,"30.5252573,-97.7107625",2025-01-28
austin-vasquez-academy,Vasquez Academy,"12110 Menchaca Rd #401, Austin, TX 78748",,0,0,,Monday,7:30pm-8:30pm,Gi/NoGi,"30.19966640,-97.80760950",2025-01-28
austin-violet-crown-jiu-jitsu,Violet crown jiu jitsu,"1609 Ohlen Rd ste. B, Austin, TX 78758",https://violetcrownjiujitsu.com/,0,0,,,,NoGi,"30.36403800,-97.71485100",2025-01-28
austin-vow-bjj,VOW BJJ,"5555 N Lamar Blvd C109, Austin, TX 78751",https://vowbjj.com/,0,0,,Sunday,12pm-4pm,NoGi,"30.32128460,-97.72925560",2025-01-28
austin-gracie-barra-south,Gracie Barra South Austin,"8204 Brodie Ln #102, Austin, TX 78745",https://gbsouthaustin.com/,0,20,30,Saturday,12:00pm-1:30pm,Gi/NoGi,"30.22062830,-97.82623790",2025-01-28
austin-east-austin-jiujitsu,East Austin Jiujitsu Parlor,"979 Springdale Rd #111, Austin, TX 78702",https://eastaustinjiujitsu.com/,0,0,,,,Gi/NoGi,"30.25201830,-97.70410640",2025-01-28
austin-gracie-barra-north,Gracie Barra North Austin,"8868 Research Blvd #608, Austin, TX 78758",,0,0,,,,Gi/NoGi,"30.37797670,-97.73423290",2025-01-28
austin-fight-factory,Fight Factory Jiu-jitsu,"9607 Research Blvd #675, Austin, TX 78759",,0,0,,,,Gi/NoGi,"30.40359970,-97.74514950",2025-01-28
austin-gracie-humaita-oak-hill,Gracie Humaitá Austin Oak Hill,"6120 US-290, Austin, TX 78735",,0,0,,Saturday,7:30pm-8:30pm,Gi/NoGi,"30.2350282,-97.8614734",2025-01-28
austin-cornerstone,Cornerstone Jiu Jitsu Academy,"1309 Leander Dr #604, Leander, TX 78641",,0,0,,Saturday,10am-12pm,Gi/NoGi,"30.5616098,-97.8437661",2025-01-28
